,index_x,term,name,crn,course_num,section,credits,time,prof,index_y,gpa,enrollment
17047,17047,201505,Engr Electrophysiology,56226,BMED 4784,R,3.0,11:00 am - 1:00 pm,Robert John  Butera ,7939.0,3.38,8.0
17048,17048,201505,Special Topics,55644,BMED 4803,R1,3.0,3:00 pm - 5:00 pm,Joseph   LeDoux ,,,
17049,17049,201505,Special Topics,56449,BMED 4813,R,3.0,10:30 am - 12:30 pm,Michael Elliot  Davis ,,,
17050,17050,201505,Special Topics,56447,BMED 4823,R,3.0,12:30 pm - 2:30 pm,Raja Y  Jones ,,,
17051,17051,201505,Prof Communication BioID,56613,BMED 6506,B,3.0,3:00 pm - 4:30 pm,Dennis H  Nagao ,,,
17052,17052,201505,Medical Device Reg Req,56614,BMED 6507,B,3.0,4:35 pm - 5:55 pm,Scott   Robirds ,,,
17053,17053,201505,BioID Masters Project II,56612,BMED 6509,B,6.0,10:35 am - 11:55 am,Sathyamurthy   Gourisankar ,,,
17054,17054,201505,Hist-Modern Indust Dsgn,54610,ID 2202,A,3.0,4:00 pm - 6:00 pm,Joyce D.  Medina ,,,
17055,17055,201505,Hist-Modern Indust Dsgn,56737,ID 2202,MID,3.0,4:00 pm - 6:00 pm,Joyce D.  Medina ,,,
17056,17056,201505,Hist-Modern Indust Dsgn,56201,ID 2202,QUP,3.0,"<ABBR title = ""To Be Announced"">TBA</ABBR>",Joyce D.  Medina ,,,
17057,17057,201505,Visual Design Thinking,56200,ID 2401,A,3.0,9:35 am - 11:55 am,John Juhan  Lau ,,,
17058,17058,201505,Visual Design Thinking,56481,ID 2401,B,3.0,9:35 am - 11:55 am,John Juhan  Lau ,,,
17059,17059,201505,Spec Top: Collaborative,56149,ID 4833,ATD,3.0,"<ABBR title = ""To Be Announced"">TBA</ABBR>",Stephen H  Sprigle ,,,
17060,17060,201505,Academic Writing,54548,CETL 8721,A,1.0,1:20 pm - 2:30 pm,David   Lawrence ,,,
17061,17061,201505,Acad Writ Intnl Grads,56371,CETL 8723,A,2.0,9:05 am - 10:55 am,Jane   Chisholm ,,,
17062,17062,201505,Acad Writ Intnl Grads,56372,CETL 8723,C,2.0,9:05 am - 10:55 am,Beryl C  Martinson ,,,
17063,17063,201505,Pres Skills Intl Grads,56374,CETL 8796,A,2.0,1:20 pm - 3:05 pm,Jane   Chisholm ,,,
17064,17064,201505,Oral Comm Intl Grads,56373,CETL 8797,C,2.0,1:05 pm - 2:55 pm,Beryl C  Martinson ,,,
17065,17065,201505,Special Topics,56782,CETL 8801,COC,1.0,"<ABBR title = ""To Be Announced"">TBA</ABBR>",Elizabeth Nora  Disalvo ,,,
17066,17066,201505,Special Topics,56694,CETL 8801,DS,1.0,"<ABBR title = ""To Be Announced"">TBA</ABBR>",Dia   Sekayi ,,,
17067,17067,201505,Special Topics,56165,CETL 8803,GDL,3.0,12:00 pm - 1:45 pm,David   Lawrence ,,,
17068,17068,201505,Intro to Engr Graphics,50004,ME 1770,A,3.0,12:00 pm - 1:10 pm,Michael   Stewart ,,,
17069,17069,201505,Intro to Engr Graphics,50432,ME 1770,B,3.0,1:20 pm - 2:30 pm,Michael   Stewart ,,,
17070,17070,201505,Computing Techniques,50005,ME 2016,A,3.0,4:00 pm - 5:45 pm,Marc K  Smith ,,,
17071,17071,201505,Creative Decisions& Dsgn,52814,ME 2110,A,3.0,9:20 am - 10:30 am,Cassandra   Telenko ,,,
17072,17072,201505,Creative Decisions& Dsgn,52815,ME 2110,B,3.0,9:20 am - 10:30 am,Cassandra   Telenko ,,,
17073,17073,201505,Creative Decisions& Dsgn,53121,ME 2110,C,3.0,9:20 am - 10:30 am,Cassandra   Telenko ,,,
17074,17074,201505,Creative Decisions& Dsgn,55753,ME 2110,D,3.0,9:20 am - 10:30 am,Cassandra   Telenko ,,,
17075,17075,201505,Creative Decisions& Dsgn,56565,ME 2110,E,3.0,9:20 am - 10:30 am,Cassandra   Telenko ,,,
17076,17076,201505,Dynamics of Rigid Bodies,50008,ME 2202,A,3.0,10:00 am - 11:45 am,Enrique   Susemihl ,,,
17077,17077,201505,System Dynamics,54909,ME 3017,A,3.0,12:00 pm - 1:10 pm,Nader   Sadegh ,,,
17078,17078,201505,Experimental Methodology,52131,ME 3057,A,3.0,9:20 am - 10:10 am,Nader   Sadegh ,,,
17079,17079,201505,Experimental Methodology,52132,ME 3057,B,3.0,9:20 am - 10:10 am,Nader   Sadegh ,,,
17080,17080,201505,Experimental Methodology,52133,ME 3057,C,3.0,9:20 am - 10:10 am,Nader   Sadegh ,,,
17081,17081,201505,Experimental Methodology,52134,ME 3057,D,3.0,9:20 am - 10:10 am,Nader   Sadegh ,,,
17082,17082,201505,Machine Design,56333,ME 3180,B,3.0,1:20 pm - 2:30 pm,Ifeanyi C  Ume ,,,
17083,17083,201505,Design and Manufacture,55119,ME 3210,A,3.0,2:00 pm - 3:45 pm,Steven Y  Liang ,,,
17084,17084,201505,Thermodynamics,56224,ME 3322,B,3.0,12:00 pm - 1:45 pm,Seyed M  Ghiaasiaan ,,,
17085,17085,201505,Thermodynamics,50433,ME 3322,C,3.0,10:00 am - 11:45 am,Ye-Hwa   Chen ,,,
17086,17086,201505,Thermodynamics,55155,ME 3322,QUP,3.0,"<ABBR title = ""To Be Announced"">TBA</ABBR>",Ye-Hwa   Chen ,,,
17087,17087,201505,Thermodynamics,50890,ME 3322,RMZ,3.0,10:30 am - 11:25 am,Nico   Declercq ,,,
17088,17088,201505,Fluid Mechanics,52617,ME 3340,B,3.0,2:00 pm - 3:45 pm,Jeffrey L  Streator ,,,
17089,17089,201505,Fluid Mechanics,56265,ME 3340,RMZ,3.0,10:30 am - 11:25 am,Astrid Caroline  Layton ,7996.0,3.0,19.0
17090,17090,201505,Heat Transfer,50006,ME 3345,A,3.0,12:05 pm - 1:45 pm,Peter J.  Hesketh ,,,
17091,17091,201505,Heat Transfer,56225,ME 3345,C,3.0,10:00 am - 11:45 am,Seyed M  Ghiaasiaan ,,,
17092,17092,201505,Heat Transfer,55631,ME 3345,QUP,3.0,"<ABBR title = ""To Be Announced"">TBA</ABBR>",Seyed M  Ghiaasiaan ,,,
17093,17093,201505,Heat Transfer,56266,ME 3345,RMZ,3.0,8:30 am - 9:25 am,Astrid Caroline  Layton ,,,
17094,17094,201505,Computer Graphics & Cad,55523,ME 4041,A,3.0,8:05 am - 9:10 am,Raghuram V  Pucha ,,,
17095,17095,201505,Computer Graphics & Cad,55524,ME 4041,B,3.0,8:05 am - 9:10 am,Raghuram V  Pucha ,,,
17096,17096,201505,ME Systems Laboratory,55486,ME 4056,A1,3.0,9:20 am - 10:30 am,Zhuomin   Zhang ,,,
17097,17097,201505,ME Systems Laboratory,55487,ME 4056,A2,3.0,9:20 am - 10:30 am,Zhuomin   Zhang ,,,
17098,17098,201505,ME Systems Laboratory,55488,ME 4056,A3,3.0,9:20 am - 10:30 am,Zhuomin   Zhang ,,,
17099,17099,201505,ME Systems Laboratory,55489,ME 4056,A4,3.0,9:20 am - 10:30 am,Zhuomin   Zhang ,,,
17100,17100,201505,ME Systems Laboratory,55490,ME 4056,A5,3.0,9:20 am - 10:30 am,Zhuomin   Zhang ,,,
17101,17101,201505,ME Systems Laboratory,55755,ME 4056,A6,3.0,9:20 am - 10:30 am,Zhuomin   Zhang ,,,
17102,17102,201505,Structural Vibrations,52155,ME 4189,A,3.0,2:05 pm - 3:45 pm,Ye-Hwa   Chen ,,,
17103,17103,201505,Structural Vibrations,52156,ME 4189,Q,3.0,"<ABBR title = ""To Be Announced"">TBA</ABBR>",Ye-Hwa   Chen ,,,
17104,17104,201505,Structural Vibrations,55675,ME 4189,QSH,3.0,"<ABBR title = ""To Be Announced"">TBA</ABBR>",Ye-Hwa   Chen ,,,
17105,17105,201505,Structural Vibrations,55243,ME 4189,QUP,3.0,"<ABBR title = ""To Be Announced"">TBA</ABBR>",Ye-Hwa   Chen ,,,
17106,17106,201505,Special Topics,56622,ME 4833,ATD,3.0,"<ABBR title = ""To Be Announced"">TBA</ABBR>",Stephen H  Sprigle ,,,
17107,17107,201505,Wind Engineering,56448,ME 6701,Q,3.0,"<ABBR title = ""To Be Announced"">TBA</ABBR>",Narayanamoorthy Lakshmi  Sankar ,,,
17108,17108,201505,Foundations of the AF II,52694,AS 1120,A,1.0,"<ABBR title = ""To Be Announced"">TBA</ABBR>",James S  Headley ,,,
17109,17109,201505,Calculus I,50684,MATH 1501,B1,4.0,9:20 am - 10:30 am,Salvador P  Barone ,,,
17110,17110,201505,Calculus I,56396,MATH 1501,B2,4.0,9:20 am - 10:30 am,Salvador P  Barone ,,,
17111,17111,201505,Calculus I,56848,MATH 1501,QBA,4.0,"<ABBR title = ""To Be Announced"">TBA</ABBR>",Salvador P  Barone ,,,
17112,17112,201505,Calculus I,56325,MATH 1501,QUP,4.0,"<ABBR title = ""To Be Announced"">TBA</ABBR>",Salvador P  Barone ,7991.0,1.71,8.0
17113,17113,201505,Calculus II,50688,MATH 1502,A1,4.0,9:20 am - 10:30 am,Alexander Terrence  Flood ,,,
17114,17114,201505,Calculus II,50867,MATH 1502,A2,4.0,9:20 am - 10:30 am,Alexander Terrence  Flood ,,,
17115,17115,201505,Calculus II,56397,MATH 1502,A3,4.0,9:20 am - 10:30 am,Alexander Terrence  Flood ,,,
17116,17116,201505,Calculus II,56850,MATH 1502,QAA,4.0,"<ABBR title = ""To Be Announced"">TBA</ABBR>",Salvador P  Barone ,,,
17117,17117,201505,Calculus II,55685,MATH 1502,QUP,4.0,"<ABBR title = ""To Be Announced"">TBA</ABBR>",Alexander Terrence  Flood ,,,
17118,17118,201505,Linear Algebra for Calc,50892,MATH 1522,A,2.0,9:20 am - 10:30 am,Doron   Lubinsky ,,,
17119,17119,201505,Intro to Diff Calculus,56267,MATH 1550,SF,3.0,9:20 am - 11:20 am,Klara Judith  Grodzinsky ,,,
17120,17120,201505,Finite Mathematics,50790,MATH 1711,A,4.0,9:20 am - 10:30 am,Alan F  Diaz ,,,
17121,17121,201505,Calculus III,50477,MATH 2401,A1,4.0,10:40 am - 11:50 am,Geng   Chen ,,,
17122,17122,201505,Calculus III,50478,MATH 2401,A2,4.0,10:40 am - 11:50 am,Geng   Chen ,,,
17123,17123,201505,Calculus III,50479,MATH 2401,A3,4.0,10:40 am - 11:50 am,Geng   Chen ,,,
17124,17124,201505,Calculus III,50480,MATH 2401,B1,4.0,12:00 pm - 1:10 pm,Geng   Chen ,,,
17125,17125,201505,Calculus III,50481,MATH 2401,B2,4.0,12:00 pm - 1:10 pm,Geng   Chen ,,,
17126,17126,201505,Calculus III,54999,MATH 2401,B3,4.0,12:00 pm - 1:10 pm,Geng   Chen ,,,
17127,17127,201505,Calculus III,56398,MATH 2401,C1,4.0,1:20 pm - 2:30 pm,Fan   Zhou ,,,
17128,17128,201505,Calculus III,56399,MATH 2401,C2,4.0,1:20 pm - 2:30 pm,Fan   Zhou ,,,
17129,17129,201505,Calculus III,56400,MATH 2401,C3,4.0,1:20 pm - 2:30 pm,"<ABBR title = ""To Be Announced"">TBA</ABBR></td>",,,
