0,1,2,3,4,5,6,7,8,9,10,11,12
2018,spring,ECON,490,3,UNKNOWN,54773,Lecture-Discussion,J3B,02:00 PM - 03:20 PM,MW,215David Kinley Hall,"Philipps, C"
2018,spring,ECON,490,3,UNKNOWN,54978,Lecture-Discussion,J4,12:30 PM - 01:50 PM,TR,310David Kinley Hall,"Shin, M"
2018,spring,ECON,490,3,UNKNOWN,57211,Lecture-Discussion,K3,03:30 PM - 04:50 PM,MW,108David Kinley Hall,"Sun, Y"
2018,spring,ECON,490,3,UNKNOWN,64025,Lecture-Discussion,K4,03:30 PM - 04:50 PM,MW,108David Kinley Hall,"Sun, Y"
2018,spring,ECON,490,3,UNKNOWN,64041,Lecture-Discussion,L3,11:00 AM - 12:20 PM,MW,209David Kinley Hall,"Gao, X"
2018,spring,ECON,490,3,UNKNOWN,64109,Lecture-Discussion,M3,12:30 PM - 01:50 PM,MW,215David Kinley Hall,"Yang, B"
2018,spring,ECON,490,3,UNKNOWN,62509,Lecture-Discussion,N3,03:30 PM - 04:50 PM,MW,215David Kinley Hall,"Shakiba, M"
2018,spring,ECON,490,3,UNKNOWN,64110,Lecture-Discussion,O3,02:00 PM - 03:20 PM,MW,215BDavid Kinley Hall,"Amini Behbahani, A"
2018,spring,ECON,490,3,UNKNOWN,59281,Lecture-Discussion,P3,12:30 PM - 01:50 PM,TR,215BDavid Kinley Hall,"Grigoryan, A"
2018,spring,ECON,490,3,UNKNOWN,57386,Lecture-Discussion,Q3,12:30 PM - 01:50 PM,MW,209David Kinley Hall,"Saenz Munoz, L"
2018,spring,ECON,542,4,UNKNOWN,35371,Lecture-Discussion,A,11:00 AM - 01:50 PM,R,35Inst Labor &  Industrial Rel,"Lamare, J"
2018,spring,ECON,534,4,,,Lecture,A1,12:30 PM - 02:20 PM,TR,215David Kinley Hall,"Zhao, R"
2018,spring,ECON,420,2,UNKNOWN,33600,Lecture-Discussion,A3,12:30 PM - 01:50 PM,TR,317David Kinley Hall,"d'Almeida, F"
2018,spring,ECON,420,2,UNKNOWN,33603,Lecture-Discussion,A4,12:30 PM - 01:50 PM,TR,317David Kinley Hall,"d'Almeida, F"
2018,spring,ECON,504,4,UNKNOWN,66992,Lecture-Discussion,M,10:00 AM - 11:50 AM,TR,123David Kinley Hall,"Shin, M"
2018,spring,ECON,528,4,UNKNOWN,62399,Lecture-Discussion,PMB,06:00 PM - 08:50 PM,M,3007Business Instructional Fac,"Esfahani, H"
2018,spring,ECON,503,4,,,Lecture,M1,08:00 AM - 09:50 AM,TR,317David Kinley Hall,"McMillen, D"
2018,spring,ECON,503,4,,,Lecture,M2,10:00 AM - 11:50 AM,TR,317David Kinley Hall,"McMillen, D"
2018,spring,ECON,501,4,,,Lecture,M,10:00 AM - 11:50 AM,MW,317David Kinley Hall,"Parente, S"
2018,spring,ECON,203,3,UNKNOWN,33498,Lecture,AL1,09:00 AM - 09:50 AM,MW,114David Kinley Hall,"Arga, DMcDermott, E"
2018,spring,ECON,203,3,UNKNOWN,33508,Lecture,AL2,10:00 AM - 10:50 AM,MW,114David Kinley Hall,"Arga, DMcDermott, E"
2018,spring,ECON,203,3,UNKNOWN,33518,Lecture,BL1,02:00 PM - 02:50 PM,MW,141Wohlers Hall,"Arga, DPetry, J"
2018,spring,ECON,202,3,UNKNOWN,33482,Lecture,AL1,09:30 AM - 10:50 AM,TR,THEATLincoln Hall,"Schultz, C"
2018,spring,ECON,302,3,UNKNOWN,33528,Lecture,AL1,02:00 PM - 03:20 PM,TR,114David Kinley Hall,"Buckley, B"
2018,spring,ECON,302,3,UNKNOWN,61818,Lecture,AL2,03:30 PM - 04:50 PM,TR,114David Kinley Hall,"Buckley, B"
2018,spring,ECON,302,3,UNKNOWN,33527,Lecture,BL1,09:30 AM - 10:50 AM,TR,112Gregory Hall,"DiIanni, I"
2018,spring,ECON,302,3,UNKNOWN,43716,Lecture-Discussion,HON,09:30 AM - 10:50 AM,TR,166Education Building,"Vazquez, J"
2018,spring,ECON,303,3,UNKNOWN,65433,Lecture,AL1,11:00 AM - 12:20 PM,TR,134Temple Hoyne Buell Hall,"Zhao, R"
2018,spring,ECON,303,3,UNKNOWN,62079,Lecture-Discussion,BL1,12:30 PM - 01:50 PM,MW,223Gregory Hall,"McDermott, E"
2018,spring,ECON,102,3,UNKNOWN,33193,Lecture,A1,03:30 PM - 04:20 PM,TR,AUDFoellinger Auditorium,"Diaz Klaassen, FGillis, MHalim, DMorais Santos, IVazquez, J"
2018,spring,ECON,102,3,UNKNOWN,60439,Lecture,BL1,03:00 PM - 03:50 PM,MW,THEATLincoln Hall,"DiIanni, I"
2018,spring,ECON,103,3,UNKNOWN,33270,Lecture,AL1,09:00 AM - 09:50 AM,MW,AUDFoellinger Auditorium,"Da Silva Cortes Goncalves, GPetry, J"
2018,spring,ECON,103,3,UNKNOWN,33328,Lecture,AL2,10:00 AM - 10:50 AM,MW,AUDFoellinger Auditorium,"Da Silva Cortes Goncalves, GPetry, J"
2018,spring,ECON,103,3,UNKNOWN,62176,Lecture-Discussion,CHP,12:30 PM - 01:50 PM,MW,212David Kinley Hall,"Parente, S"
2018,spring,ECON,103,3,UNKNOWN,33331,Lecture-Discussion,U1,11:00 AM - 12:20 PM,TR,40Allen Residence Hall,"Schneider, R"
2018,spring,ECON,484,2,UNKNOWN,33650,Lecture-Discussion,A3,11:00 AM - 12:20 PM,TR,212David Kinley Hall,"Schultz, C"
2018,spring,ECON,482,3,UNKNOWN,60882,Lecture-Discussion,A3,11:00 AM - 12:20 PM,TR,215BDavid Kinley Hall,"Buckley, B"
2018,spring,ECON,482,3,UNKNOWN,67756,Lecture-Discussion,A4,11:00 AM - 12:20 PM,TR,215BDavid Kinley Hall,"Buckley, B"
2018,spring,ECON,481,2,UNKNOWN,57133,Lecture-Discussion,A3,09:30 AM - 10:50 AM,TR,215BDavid Kinley Hall,"Qiu, Z"
2018,spring,ECON,481,2,UNKNOWN,67752,Lecture-Discussion,A4,09:30 AM - 10:50 AM,TR,215BDavid Kinley Hall,"Qiu, Z"
2018,spring,ECON,480,2,UNKNOWN,52445,Lecture-Discussion,A3,09:30 AM - 10:50 AM,MW,215BDavid Kinley Hall,"Qiu, Z"
2018,spring,ECON,480,2,UNKNOWN,52447,Lecture-Discussion,A4,09:30 AM - 10:50 AM,MW,215BDavid Kinley Hall,"Qiu, Z"
2018,spring,ECON,480,2,UNKNOWN,65782,Lecture-Discussion,B3,09:30 AM - 10:50 AM,TR,111David Kinley Hall,"Toossi, A"
2018,spring,ECON,480,2,UNKNOWN,33648,Lecture-Discussion,B4,09:30 AM - 10:50 AM,TR,111David Kinley Hall,"Toossi, A"
2018,spring,ECON,480,2,UNKNOWN,33645,Lecture-Discussion,C3,11:00 AM - 12:20 PM,TR,111David Kinley Hall,"Toossi, A"
2018,spring,ECON,480,2,UNKNOWN,33649,Lecture-Discussion,C4,11:00 AM - 12:20 PM,TR,111David Kinley Hall,"Toossi, A"
2018,spring,ECON,529,4,UNKNOWN,62638,Lecture-Discussion,A1,ARRANGED -,,,
2018,spring,ECON,414,3,UNKNOWN,52507,Lecture-Discussion,A3,02:00 PM - 03:20 PM,TR,215BDavid Kinley Hall,"Albouy, D"
2018,spring,ECON,414,3,UNKNOWN,52506,Lecture-Discussion,A4,02:00 PM - 03:20 PM,TR,215BDavid Kinley Hall,"Albouy, D"
2018,spring,ECON,535,4,,,Lecture,A1,08:00 AM - 09:50 AM,TR,119David Kinley Hall,"Chung, E"
2018,spring,ECON,471,2,UNKNOWN,65791,Lecture-Discussion,A3,12:30 PM - 01:50 PM,TR,119David Kinley Hall,"Arvin-Rad, H"
2018,spring,ECON,471,2,UNKNOWN,60672,Lecture-Discussion,A4,12:30 PM - 01:50 PM,TR,119David Kinley Hall,"Arvin-Rad, H"
2018,spring,ECON,471,2,UNKNOWN,65781,Lecture-Discussion,B3,02:00 PM - 03:20 PM,TR,119David Kinley Hall,"Arvin-Rad, H"
2018,spring,ECON,471,2,UNKNOWN,33637,Lecture-Discussion,B4,02:00 PM - 03:20 PM,TR,119David Kinley Hall,"Arvin-Rad, H"
2018,spring,ECON,533,4,,,Lecture,A1,10:00 AM - 11:50 AM,MW,212David Kinley Hall,"Krasa, S"
2018,spring,ECON,411,2,UNKNOWN,65788,Lecture-Discussion,A3,09:30 AM - 10:50 AM,TR,113David Kinley Hall,"Arvin-Rad, H"
2018,spring,ECON,411,2,UNKNOWN,40600,Lecture-Discussion,A4,09:30 AM - 10:50 AM,TR,113David Kinley Hall,"Arvin-Rad, H"
2018,spring,ECON,514,4,UNKNOWN,61885,Lecture-Discussion,M,02:00 PM - 03:50 PM,MW,123David Kinley Hall,"Howard, G"
2018,spring,ECON,517,4,UNKNOWN,65452,Lecture-Discussion,M1,08:00 AM - 09:50 AM,TR,123David Kinley Hall,"Zhao, R"
2018,spring,EPS,201,3,UNKNOWN,33007,Lecture,AL1,11:00 AM - 11:50 AM,TR,2Education Building,"Akande, IThorstensson Davila, LThreadgill, R"
2018,spring,EPS,590,4,UNKNOWN,33115,Lecture-Discussion,AQR,04:00 PM - 06:50 PM,M,382Education Building,"Dyson, A"
2018,spring,EPS,590,4,UNKNOWN,49021,Lecture-Discussion,CRT,06:00 PM - 08:50 PM,T,385Education Building,"Dixson, A"
2018,spring,EPS,590,4,UNKNOWN,48979,Lecture-Discussion,WT3,01:00 PM - 03:50 PM,T,382Education Building,"Trent, W"
2018,spring,EPS,202,4,UNKNOWN,33060,Lecture,AL1,11:00 AM - 11:50 AM,TR,2Education Building,"Gallaway, CJames, AThorstensson Davila, L"
2018,spring,EPS,516,4,UNKNOWN,33106,Lecture-Discussion,A,04:00 PM - 05:50 PM,R,376Education Building,"Burbules, N"
2018,spring,EPS,310,4,,,Lecture,A,02:00 PM - 03:50 PM,T,22Education Building,"Anderson, JVelez, AWard, R"
2018,spring,EPS,310,4,,,Lecture,B,02:00 PM - 03:50 PM,T,22Education Building,"Anderson, JVelez, AWard, R"
2018,spring,EPS,412,2,UNKNOWN,33092,Lecture-Discussion,A,05:00 PM - 06:50 PM,T,166Education Building,"Burbules, N"
2018,spring,EPS,570,4,UNKNOWN,64988,Lecture-Discussion,A,12:00 PM - 02:50 PM,R,382Education Building,"McCarthy, C"
2018,spring,EPS,423,3,UNKNOWN,43743,Lecture-Discussion,A,02:00 PM - 04:50 PM,T,37Education Building,"Dixson, A"
2018,spring,EPS,423,3,UNKNOWN,66104,Lecture-Discussion,B,02:00 PM - 04:50 PM,T,37Education Building,"Dixson, A"
2018,spring,EPS,512,4,UNKNOWN,54663,Lecture-Discussion,S,02:00 PM - 03:50 PM,R,242Education Building,"Higgins, CPinkert, A"
2018,spring,MUSE,389,3,UNKNOWN,54651,Lecture,AL1,11:00 AM - 12:20 PM,T,370Armory,"Frankenberg, S"
2018,spring,MUSE,250,3,UNKNOWN,56970,Lecture-Discussion,1,09:30 AM - 10:50 AM,TR,319Gregory Hall,"Frankenberg, S"
2018,spring,MUSE,589,2,UNKNOWN,54653,Lecture,AL1,11:00 AM - 12:20 PM,T,370Armory,"Frankenberg, S"
2018,spring,MUSE,589,2,UNKNOWN,68026,Lecture-Discussion,J,05:00 PM - 07:50 PM,M,1068Lincoln Hall,"Davis, J"
2018,spring,CPSC,591,1,UNKNOWN,55648,Lecture-Discussion,A,12:00 PM - 12:50 PM,R,ARRInstitute for Genomic Biology,"Rodriguez-Zas, S"
2018,spring,CPSC,598,1,UNKNOWN,31632,Lecture-Discussion,C1,12:00 PM - 12:50 PM,R,1092Lincoln Hall,"Juvik, J"
2018,spring,CPSC,598,1,UNKNOWN,31636,Lecture-Discussion,C2,12:00 PM - 12:50 PM,R,1092Lincoln Hall,"Juvik, J"
2018,spring,CPSC,598,1,UNKNOWN,31638,Lecture-Discussion,G1,12:00 PM - 12:50 PM,W,149National Soybean Res Ctr,"Marshall-Colon, AZhao, Y"
2018,spring,CPSC,598,1,UNKNOWN,31639,Lecture-Discussion,G2,12:00 PM - 12:50 PM,W,149National Soybean Res Ctr,"Marshall-Colon, AZhao, Y"
2018,spring,CPSC,453,4,UNKNOWN,31550,Lecture,AL1,01:00 PM - 01:50 PM,TR,320Mumford Hall,"Kolb, F"
2018,spring,CPSC,117,3,UNKNOWN,66101,Lecture,A,10:00 AM - 10:50 AM,MWF,1002Lincoln Hall,"Briskin, D"
2018,spring,CPSC,116,3,UNKNOWN,48193,Lecture-Discussion,A,06:00 PM - 08:50 PM,W,103Mumford Hall,"Bohn, M"
2018,spring,CPSC,112,4,UNKNOWN,31487,Lecture,AL1,02:00 PM - 03:20 PM,TR,149National Soybean Res Ctr,"Pittelkow, C"
2018,spring,CPSC,491,0,UNKNOWN,55646,Lecture-Discussion,A,12:00 PM - 12:50 PM,R,ARRInstitute for Genomic Biology,"Rodriguez-Zas, S"
2018,spring,CPSC,543,4,UNKNOWN,61169,Lecture,AL,03:30 PM - 04:50 PM,TR,1002Lincoln Hall,"Bollero, G"
2018,spring,CPSC,542,5,UNKNOWN,52387,Lecture,AL1,03:00 PM - 04:50 PM,MW,147Armory,"Butts-Wilmsmeyer, C"
2018,spring,CPSC,428,2,UNKNOWN,44813,Lecture-Discussion,A,10:00 AM - 11:50 AM,T,W9Turner Hall,"Tranel, P"
2018,spring,CPSC,180,3,UNKNOWN,34188,Lecture,AL1,11:00 AM - 11:50 AM,MWF,241Wohlers Hall,"Riggins, C"
2018,spring,CPSC,336,3,UNKNOWN,31524,Lecture-Discussion,A,02:00 PM - 03:20 PM,TR,307David Kinley Hall,"Lee, D"
2018,spring,CPSC,336,3,UNKNOWN,31527,Lecture-Discussion,JH,02:00 PM - 03:20 PM,TR,307David Kinley Hall,"Lee, D"
2018,spring,CPSC,440,4,UNKNOWN,31578,Lecture,AL1,03:30 PM - 04:50 PM,TR,213Gregory Hall,"Lipka, A"
2018,spring,CPSC,566,4,UNKNOWN,43483,Lecture-Discussion,A,09:30 AM - 10:50 AM,TR,320Mumford Hall,"Studer, A"
2018,spring,CPSC,261,3,UNKNOWN,31518,Lecture-Discussion,A,09:30 AM - 10:50 AM,TR,131Animal Sciences Laboratory,"Moose, S"
2018,spring,CPSC,241,3,UNKNOWN,31493,Lecture,AL1,11:00 AM - 11:50 AM,MW,320Mumford Hall,"Butts-Wilmsmeyer, C"
2018,spring,CPSC,266,4,,,Lecture,AL,11:00 AM - 12:20 PM,TR,393Bevier Hall,"Hudson, M"
2018,spring,CPSC,488,3,UNKNOWN,49708,Lecture,L1,12:00 PM - 12:50 PM,MWF,166Bevier Hall,"Mulvaney, R"
2018,spring,CPSC,484,3,UNKNOWN,34657,Lecture,A,10:00 AM - 10:50 AM,MWF,2083Natural History Building,"Bernacchi, C"
2018,spring,CPSC,556,1,UNKNOWN,52415,Lecture-Discussion,A,12:00 PM - 12:50 PM,T,204Agricultural Engr Sciences Bld,"Juvik, J"
2018,spring,CPSC,518,4,UNKNOWN,31648,Lecture,A,09:00 AM - 09:50 AM,MWF,320Mumford Hall,"Below, F"
2018,spring,CPSC,352,4,UNKNOWN,31502,Lecture-Discussion,AB,03:00 PM - 04:50 PM,R,115David Kinley Hall,"Diers, B"
2018,spring,CPSC,352,4,UNKNOWN,31503,Lecture,AL1,02:00 PM - 02:50 PM,MWF,125David Kinley Hall,"Diers, B"
2018,spring,CPSC,436,4,UNKNOWN,39487,Lecture,AL1,09:30 AM - 10:50 AM,TR,2020BNatural History Building,"Harmon-Threatt, A"
2018,spring,CPSC,418,3,UNKNOWN,31547,Lecture,A,03:00 PM - 04:20 PM,M,1002Lincoln Hall,"Simmons, F"
2018,spring,CPSC,431,3,UNKNOWN,31539,Lecture,A,11:00 AM - 12:20 PM,TR,2020BNatural History Building,"Ainsworth, ELeakey, A"
2018,spring,ARAB,150,3,UNKNOWN,66045,Lecture,A1,02:00 PM - 03:50 PM,MW,G36Foreign Languages Building,"Saadah, E"
2018,spring,ARAB,202,5,,,Lecture,BE1,11:00 AM - 11:50 AM,F,115David Kinley Hall,"El Karkafi, JSaadah, E"
2018,spring,ARAB,202,5,,,Lecture,BE1,11:00 AM - 11:50 AM,TWR,307David Kinley Hall,"El Karkafi, JSaadah, E"
2018,spring,ARAB,202,5,,,Lecture,CE1,01:00 PM - 01:50 PM,R,1048Foreign Languages Building,"Abdulla, WSaadah, E"
2018,spring,ARAB,202,5,,,Lecture,CE1,01:00 PM - 01:50 PM,TWF,1110Foreign Languages Building,"Abdulla, WSaadah, E"
2018,spring,ARAB,202,5,,,Lecture,DE1,10:00 AM - 10:50 AM,WF,326David Kinley Hall,"El Karkafi, JSaadah, E"
2018,spring,ARAB,202,5,,,Lecture,DE1,10:00 AM - 10:50 AM,TR,312David Kinley Hall,"El Karkafi, JSaadah, E"
2018,spring,ARAB,211,4,,,Lecture-Discussion,A,09:30 AM - 10:50 AM,R,1112Foreign Languages Building,"Al-Ghzawi, MSaadah, E"
2018,spring,ARAB,406,3,,,Lecture-Discussion,A,10:00 AM - 10:50 AM,WF,164Noyes Laboratory,"Saadah, E"
2018,spring,ARAB,404,4,,,Lecture,B,12:00 PM - 12:50 PM,MW,G36Foreign Languages Building,"El Karkafi, JSaadah, E"
2018,spring,ARAB,410,3,UNKNOWN,54865,Lecture-Discussion,A,11:00 AM - 12:30 PM,MF,21Psychology Building,"Hermes, ZSaadah, E"
2018,spring,ARAB,490,3,UNKNOWN,68224,Lecture-Discussion,G4,ARRANGED -,,,"Saadah, E"
2018,spring,ARAB,490,3,UNKNOWN,68223,Lecture-Discussion,U3,ARRANGED -,,,"Saadah, E"
2018,spring,ARAB,408,3,,,Lecture-Discussion,C1,12:00 PM - 12:50 PM,MF,1040Foreign Languages Building,"Saadah, E"
2018,spring,ACES,102,3,UNKNOWN,63906,Lecture-Discussion,LR,02:00 PM - 03:15 PM,TR,182Armory,"Rodriguez, L"
2018,spring,AGED,199,1,UNKNOWN,50883,Lecture-Discussion,D,02:00 PM - 05:00 PM,F,,"Emmert, JOchs, G"
