0,1,2,3,4,5,6,7,8,9,10,11,12
2018,fall,ACCY,302,3,UNKNOWN,36688,Lecture-Discussion,AE8,09:30 AM - 10:50 AM,TR,3057 Business Instructional Fac,"Curtis, S"
2018,fall,ACCY,302,3,UNKNOWN,49258,Lecture-Discussion,AEA,02:00 PM - 03:20 PM,TR,3003 Business Instructional Fac,"Wu, M"
2018,fall,ACCY,303,3,UNKNOWN,36692,Lecture-Discussion,AE1,08:00 AM - 09:20 AM,MW,152 Wohlers Hall,"Zhu, W"
2018,fall,ACCY,303,3,UNKNOWN,36700,Lecture-Discussion,AE2,09:30 AM - 10:50 AM,MW,152 Wohlers Hall,"Zhu, W"
2018,fall,ACCY,303,3,UNKNOWN,36701,Lecture-Discussion,AE3,11:00 AM - 12:20 PM,MW,152 Wohlers Hall,"Godsell, D"
2018,fall,ACCY,303,3,UNKNOWN,36713,Lecture-Discussion,AE4,12:30 PM - 01:50 PM,MW,152 Wohlers Hall,"Godsell, D"
2018,fall,ACCY,303,3,UNKNOWN,49259,Lecture-Discussion,AE5,02:00 PM - 03:20 PM,MW,152 Wohlers Hall,"Hamm, B"
2018,fall,ACCY,303,3,UNKNOWN,36703,Lecture-Discussion,AE6,03:30 PM - 04:50 PM,MW,152 Wohlers Hall,"Hamm, B"
2018,fall,ACCY,303,3,UNKNOWN,67818,Lecture-Discussion,AE7,11:00 AM - 12:20 PM,MW,2005 Business Instructional Fac,"Li, W"
2018,fall,ACCY,304,3,UNKNOWN,31317,Lecture-Discussion,AE1,08:00 AM - 09:20 AM,TR,152 Wohlers Hall,"Koo, S"
2018,fall,ACCY,304,3,UNKNOWN,31318,Lecture-Discussion,AE2,09:30 AM - 10:50 AM,TR,152 Wohlers Hall,"Koo, S"
2018,fall,ACCY,304,3,UNKNOWN,31319,Lecture-Discussion,AE3,02:00 PM - 03:20 PM,TR,3009 Business Instructional Fac,"Koo, S"
2018,fall,ACCY,304,3,UNKNOWN,31320,Lecture-Discussion,AE4,03:30 PM - 04:50 PM,TR,2005 Business Instructional Fac,"Hayne, C"
2018,fall,ACCY,304,3,UNKNOWN,49280,Lecture-Discussion,AE5,02:00 PM - 03:20 PM,TR,2005 Business Instructional Fac,"Hayne, C"
2018,fall,ACCY,304,3,UNKNOWN,62036,Lecture-Discussion,AE6,11:00 AM - 12:20 PM,TR,1049 Business Instructional Fac,"Hayne, C"
2018,fall,ACCY,312,3,UNKNOWN,31321,Lecture-Discussion,A,08:00 AM - 09:20 AM,MW,3003 Business Instructional Fac,"Penn, M"
