"",A,B,C,D,F,I,S,U,V,W Aver. Tota
Aerospace Engineering - AE 9000 MAV,,,,,,,103,,,103
Aerospace Engineering - AE 9000 MEN,,,,,,,8,1,,9
Aerospace Engineering - AE 9000 PR,,,,,,,1,,,1
Aerospace Engineering - AE 9000 PRA,,,,,,,3,,,3
Aerospace Engineering - AE 9000 PRI,,,,,,,1,,,1
Aerospace Engineering - AE 9000 QBR,,,,,,,1,,,1
Aerospace Engineering - AE 9000 QMA,,,,,,,2,,,2
Aerospace Engineering - AE 9000 QWI,,,,,,,3,,,3
Aerospace Engineering - AE 9000 RIM,,,,,,,3,,,3
Aerospace Engineering - AE 9000 RUF,,,,,,,3,,,3
Aerospace Engineering - AE 9000 RUZ,,,,,,,4,,,4
Aerospace Engineering - AE 9000 SAL,,,,,,,1,,,1
Aerospace Engineering - AE 9000 SAN,,,,,,,2,,,2
Aerospace Engineering - AE 9000 SCH,,,,,,,4,,,4
Aerospace Engineering - AE 9000 SEI,,,,,,,3,,,3
Aerospace Engineering - AE 9000 SMI,,,,,,,3,,,3
Aerospace Engineering - AE 9000 SUN,,,,,,,4,,,4
Aerospace Engineering - AE 9000 THE,,,,,,,8,1,,9
Aerospace Engineering - AE 9000 TSI,,,,,,,9,,,9
Aerospace Engineering - AE 9000 WAL,,,,,,,7,,,7
Aerospace Engineering - AE 9000 YAN,,,,,,,5,,,5
Aerospace Engineering - AE 9000 YEU,,,,,,,3,,,3
Aerospace Engineering - AE 9000 YU,,,,,,,1,,,1
Aerospace Engineering - AE 9000 ZIN,,,,,,,5,,,5
Air Force Aerospace Studies - AS 1110 A,22,6,,,2,,,,,6 3.53 36
Air Force Aerospace Studies - AS 1110 B,16,1,,,,,,,,3 3.94 20
Air Force Aerospace Studies - AS 1111 A,,,,,,,29,1,,7 37
Air Force Aerospace Studies - AS 2210 A,12,4,1,,1,,,,,3 3.44 21
Air Force Aerospace Studies - AS 2210 B,3,,,,,,,,,4 4.00 7
Air Force Aerospace Studies - AS 2211 A,,,,,,,16,2,,2 20
Air Force Aerospace Studies - AS 3310 A,19,6,,,,,,,,3.76 25
Air Force Aerospace Studies - AS 3311 A,,,,,,,25,,,25
Air Force Aerospace Studies - AS 4410 A,7,3,,,,,,,,3.70 10
Air Force Aerospace Studies - AS 4411 A,,,,,,,16,,,16
Applied Physiology - APPH 1040 A,188,80,17,,1,,,,,11 3.59 297
Applied Physiology - APPH 1040 E,208,65,22,2,,,,,,3 3.61 300
Applied Physiology - APPH 1040 J,216,60,8,1,1,,,,,2 3.71 288
Applied Physiology - APPH 1040 J,A,B,C,D,F,I,S,U,V,W Aver. Tota
Applied Physiology - APPH 1040 L,175,100,21,5,2,,,,,6 3.46 309
Applied Physiology - APPH 1050 AF1,13,9,2,,,,,,,1 3.46 25
Applied Physiology - APPH 1050 AF2,20,3,1,,,,,,,3.79 24
Applied Physiology - APPH 1050 AR1,29,12,2,,,,,,,3 3.63 46
Applied Physiology - APPH 1050 AWT,18,6,,,,,,,,3.75 24
Applied Physiology - APPH 1050 AYO,17,5,1,1,,,,,,1 3.58 25
Applied Physiology - APPH 1050 BF1,15,8,,1,,,,,,3.54 24
Applied Physiology - APPH 1050 BF2,9,9,2,,,,,,,2 3.35 22
Applied Physiology - APPH 1050 BR1,20,13,4,1,,,,,,1 3.37 39
Applied Physiology - APPH 1050 BWT,6,11,2,,,,,,,3 3.21 22
Applied Physiology - APPH 1050 BYO,17,3,4,,,,,,,1 3.54 25
Applied Physiology - APPH 2500 A,21,7,,,,,1,,,3.75 29
Applied Physiology - APPH 2699 BP,1,,,,,,,,,4.00 1
Applied Physiology - APPH 2699 MS,1,,,,,,,,,4.00 1
Applied Physiology - APPH 2699 YJ,2,,,,,,,,,4.00 2
Applied Physiology - APPH 3753 A,33,30,2,1,,,,,,2 3.44 68
Applied Physiology - APPH 3754 A,17,4,3,,,,,,,3.58 24
Applied Physiology - APPH 3754 B,4,9,2,1,,,,,,1 3.00 17
Applied Physiology - APPH 4200 A,2,5,1,,,,,,,3.13 8
Applied Physiology - APPH 4400 A,2,3,,,1,,,,1,2.83 7
Applied Physiology - APPH 4698 CH,,,,,,,,,1,1
Applied Physiology - APPH 4698 SS,,,,,,,,,1,1
Applied Physiology - APPH 4699 GK,1,,,,,,,,,4.00 1
Applied Physiology - APPH 4699 LW,1,,,,,,,,,4.00 1
Applied Physiology - APPH 4699 MMS,3,,,,,,,,,4.00 3
Applied Physiology - APPH 4699 MS,2,,,,,,1,,,4.00 3
Applied Physiology - APPH 4699 RN,2,,,,,,,,,4.00 2
Applied Physiology - APPH 4699 SS,1,,,,,,,,,4.00 1
Applied Physiology - APPH 4699 YC,1,,,,,,,,,4.00 1
Applied Physiology - APPH 4699 YJ,3,,,,,,,,,4.00 3
Applied Physiology - APPH 4801 A,2,,,,,,,,,4.00 2
Applied Physiology - APPH 4802 A,1,1,1,,,,,,,3.00 3
